bioguide_id,member_name,party,chamber,state,total_tweets,tweets_per_day_in_office,account_count,days_in_office,service_start_used,service_end_used,service_date_source
L000576,Billy Long,R,house,MO,17900,24.52054794520548,2,730,2021-01-03,2023-01-03,window_boundary_fallback
R000614,Chip Roy,R,house,TX,15959,21.861643835616437,2,730,2021-01-03,2023-01-03,window_boundary_fallback
C001098,Ted Cruz,R,senate,TX,14857,20.352054794520548,3,730,2021-01-03,2023-01-03,window_boundary_fallback
E000296,Dwight Evans,D,house,PA,14782,20.24931506849315,2,730,2021-01-03,2023-01-03,window_boundary_fallback
B001298,Don Bacon,R,house,NE,14087,19.297260273972604,2,730,2021-01-03,2023-01-03,window_boundary_fallback
T000478,Claudia Tenney,R,house,NY,13194,18.073972602739726,2,730,2021-01-03,2023-01-03,window_boundary_fallback
S001196,Elise Stefanik,R,house,NY,11961,16.384931506849316,2,730,2021-01-03,2023-01-03,window_boundary_fallback
C001056,John Cornyn,R,senate,TX,11192,15.331506849315069,2,730,2021-01-03,2023-01-03,window_boundary_fallback
C001117,Sean Casten,D,house,IL,11188,15.326027397260274,3,730,2021-01-03,2023-01-03,window_boundary_fallback
J000298,Pramila Jayapal,D,house,WA,11128,15.243835616438357,2,730,2021-01-03,2023-01-03,window_boundary_fallback
B001292,Don Beyer,D,house,VA,11021,15.097260273972603,2,730,2021-01-03,2023-01-03,window_boundary_fallback
S001193,Eric Swalwell,D,house,CA,10367,14.2013698630137,2,730,2021-01-03,2023-01-03,window_boundary_fallback
P000096,Bill Pascrell,D,house,NJ,9563,13.1,2,730,2021-01-03,2023-01-03,window_boundary_fallback
K000389,Ro Khanna,D,house,CA,8825,12.08904109589041,2,730,2021-01-03,2023-01-03,window_boundary_fallback
L000582,Ted Lieu,D,house,CA,8228,11.271232876712329,2,730,2021-01-03,2023-01-03,window_boundary_fallback
P000617,Ayanna Pressley,D,house,MA,8206,11.241095890410959,2,730,2021-01-03,2023-01-03,window_boundary_fallback
G000578,Matt Gaetz,R,house,FL,8182,11.208219178082192,2,730,2021-01-03,2023-01-03,window_boundary_fallback
B001243,Marsha Blackburn,R,senate,TN,7982,10.934246575342465,2,730,2021-01-03,2023-01-03,window_boundary_fallback
B001223,Jamaal Bowman,D,house,NY,7559,10.354794520547944,2,730,2021-01-03,2023-01-03,window_boundary_fallback
G000582,Jenniffer Gonzalez,R,house,PR,7548,10.33972602739726,4,730,2021-01-03,2023-01-03,window_boundary_fallback
G000386,Chuck Grassley,R,senate,IA,7409,10.14931506849315,3,730,2021-01-03,2023-01-03,window_boundary_fallback
C001091,Joaquin Castro,D,house,TX,7396,10.131506849315068,2,730,2021-01-03,2023-01-03,window_boundary_fallback
M000317,Nicole Malliotakis,R,house,NY,7380,10.10958904109589,2,730,2021-01-03,2023-01-03,window_boundary_fallback
G000574,Ruben Gallego,D,house,AZ,7282,9.975342465753425,2,730,2021-01-03,2023-01-03,window_boundary_fallback
M001184,Thomas Massie,R,house,KY,7186,9.843835616438357,3,730,2021-01-03,2023-01-03,window_boundary_fallback
H000601,Bill Hagerty,R,senate,TN,6889,9.436986301369863,2,730,2021-01-03,2023-01-03,window_boundary_fallback
M000087,Carolyn Maloney,D,house,NY,6745,9.23972602739726,2,730,2021-01-03,2023-01-03,window_boundary_fallback
S001217,Rick Scott,R,senate,FL,6552,8.975342465753425,2,730,2021-01-03,2023-01-03,window_boundary_fallback
P000145,Alex Padilla,D,senate,CA,6477,8.872602739726027,2,730,2021-01-03,2023-01-03,window_boundary_fallback
D000627,Val Demings,D,house,FL,6445,8.82876712328767,3,730,2021-01-03,2023-01-03,window_boundary_fallback
G000594,Ernest Gonzales,R,house,TX,6324,8.663013698630136,2,730,2021-01-03,2023-01-03,window_boundary_fallback
S001205,Mary Scanlon,D,house,PA,6294,8.621917808219179,2,730,2021-01-03,2023-01-03,window_boundary_fallback
B001302,Andy Biggs,R,house,AZ,6214,8.512328767123288,2,730,2021-01-03,2023-01-03,window_boundary_fallback
E000297,Adriano Espaillat,D,house,NY,6178,8.463013698630137,3,730,2021-01-03,2023-01-03,window_boundary_fallback
O000173,Ilhan Omar,D,house,MN,6157,8.434246575342465,2,730,2021-01-03,2023-01-03,window_boundary_fallback
G000586,Chuy Garcia,D,house,IL,6055,8.294520547945206,4,730,2021-01-03,2023-01-03,window_boundary_fallback
