bioguide_id,member_name,party,chamber,state,total_tweets,tweets_per_day_in_office,account_count,days_in_office,bills_sponsored,bills_enacted
L000576,Billy Long,R,house,MO,17900,24.52054794520548,2,730,0,0
R000614,Chip Roy,R,house,TX,15959,21.861643835616437,2,730,0,0
C001098,Ted Cruz,R,senate,TX,14857,20.352054794520548,3,730,0,0
E000296,Dwight Evans,D,house,PA,14782,20.24931506849315,2,730,0,0
B001298,Don Bacon,R,house,NE,14087,19.297260273972604,2,730,0,0
T000478,Claudia Tenney,R,house,NY,13194,19.094066570188133,2,691,0,0
S001196,Elise Stefanik,R,house,NY,11961,16.384931506849316,2,730,0,0
C001056,John Cornyn,R,senate,TX,11192,15.331506849315069,2,730,0,0
C001117,Sean Casten,D,house,IL,11188,15.326027397260274,3,730,0,0
J000298,Pramila Jayapal,D,house,WA,11128,15.243835616438357,2,730,0,0
